time,initialValue,baleNumber,rxThrottle,outputThrottle,rpm,voltage,busbarCurrent,phaseWireCurrent,mosfetTemp,capacitorTemp,statusCode,verifyCode
1666879821.9116914,18258690,7098,11.71875,11.71875,919,2520,1,28,30.922399999999996,1.0879999999999939,0,60421
1666879821.9432933,18258690,7099,11.71875,11.71875,916,2520,4,30,30.922399999999996,1.0879999999999939,0,61189
1666879821.9921377,18258690,7100,11.71875,11.71875,918,2520,1,29,30.922399999999996,1.0879999999999939,0,60933
1666879822.023882,18258690,7101,11.71875,11.71875,915,2520,1,31,30.922399999999996,1.0879999999999939,0,60933
1666879822.072034,18258690,7102,11.71875,11.71875,917,2520,1,29,30.922399999999996,1.0879999999999939,0,61189
1666879822.103754,18258690,7103,11.71875,11.71875,916,2520,4,32,30.922399999999996,1.0879999999999939,0,62725
1666879822.1519468,18258690,7104,11.71875,11.71875,918,2520,4,30,30.922399999999996,1.0879999999999939,0,62981
1666879822.183445,18258690,7105,11.71875,11.71875,917,2520,1,32,30.922399999999996,1.0879999999999939,0,62725
1666879822.2313159,18258690,7106,11.71875,11.71875,919,2520,1,32,30.922399999999996,1.0879999999999939,0,63493
1666879822.263722,18258690,7107,11.71875,11.71875,920,2520,4,31,30.922399999999996,1.0879999999999939,0,64517
1666879822.3107924,18258690,7108,11.71875,11.71875,923,2520,1,30,30.922399999999996,1.0879999999999939,0,64517
1666879822.3436635,18258690,7109,11.71875,11.71875,920,2520,1,29,30.922399999999996,1.0879999999999939,0,63749
1666879822.3907595,18258690,7110,11.71875,11.71875,922,2520,1,25,30.922399999999996,1.0879999999999939,0,63493
1666879822.4238122,18258690,7111,11.71875,11.71875,919,2520,3,29,30.922399999999996,1.0879999999999939,0,64517
1666879822.470718,18258690,7112,11.71875,11.71875,917,2520,3,26,30.922399999999996,1.0879999999999939,0,63493
1666879822.5200922,18258690,7113,11.71875,11.71875,914,2520,3,29,30.922399999999996,1.0879999999999939,0,63749
1666879822.5520067,18258690,7114,11.71875,11.71875,917,2520,3,28,30.922399999999996,1.0879999999999939,0,64517
1666879822.5988803,18258690,7115,11.71875,11.71875,913,2520,3,28,30.922399999999996,1.0879999999999939,0,63749
1666879822.6306038,18258690,7116,11.71875,11.71875,914,2520,3,27,30.922399999999996,1.0879999999999939,0,64005
1666879822.6784759,18258690,7117,11.71875,11.71875,910,2520,3,29,30.922399999999996,1.0879999999999939,0,63749
1666879822.7103908,18258690,7118,11.71875,11.71875,912,2520,3,28,30.922399999999996,1.0879999999999939,0,64261
1666879822.7582622,18258690,7119,11.71875,11.71875,915,2520,3,29,30.922399999999996,1.0879999999999939,0,6
1666879822.790177,18258690,7120,11.71875,11.71875,911,2520,1,29,30.922399999999996,1.0879999999999939,0,64261
1666879822.838049,18258690,7121,11.71875,11.71875,910,2520,1,28,30.922399999999996,1.0879999999999939,0,64005
1666879822.8709683,18258690,7122,11.71875,11.71875,906,2520,3,28,30.922399999999996,1.0879999999999939,0,63749
1666879822.918834,18258690,7123,11.71875,11.71875,910,2520,3,28,30.922399999999996,1.0879999999999939,0,65029
1666879822.950363,18258690,7124,11.71875,11.71875,911,2520,3,27,30.922399999999996,1.0879999999999939,0,65285
1666879822.998406,18258690,7125,11.71875,11.71875,905,2520,1,28,30.922399999999996,1.0879999999999939,0,63749
1666879823.0300345,18258690,7126,11.71875,11.71875,901,2520,1,31,30.922399999999996,1.0879999999999939,0,63749
1666879823.078117,18258690,7127,11.71875,11.71875,908,2520,4,31,30.922399999999996,1.0879999999999939,0,1030
1666879823.1100087,18258690,7128,11.71875,11.71875,909,2520,1,32,30.922399999999996,1.0879999999999939,0,1030
1666879823.1585402,18258690,7129,11.71875,11.71875,912,2520,1,31,30.922399999999996,1.0879999999999939,0,1798
1666879823.206591,18258690,7130,11.71875,11.71875,911,2520,4,31,30.922399999999996,1.0879999999999939,0,2566
1666879823.2381473,18258690,7131,11.71875,11.71875,912,2520,3,29,30.922399999999996,1.0879999999999939,0,2310
1666879823.2859285,18258690,7132,11.71875,11.71875,911,2520,1,29,30.922399999999996,1.0879999999999939,0,1798
1666879823.3183913,18258690,7133,11.71875,11.71875,911,2520,3,29,30.922399999999996,1.0879999999999939,0,2566
1666879823.3656983,18258690,7134,11.71875,11.71875,912,2520,4,30,30.922399999999996,1.0879999999999939,0,3590
1666879823.3977034,18258690,7135,11.71875,11.71875,911,2520,1,29,30.922399999999996,1.0879999999999939,0,2566
1666879823.4460456,18258690,7136,11.71875,11.71875,912,2520,3,26,30.922399999999996,1.0879999999999939,0,2822
1666879823.4781017,18258690,7137,11.71875,11.71875,908,2520,4,31,30.922399999999996,1.0879999999999939,0,3590
1666879823.5273952,18258690,7138,11.71875,11.71875,914,2520,3,29,30.922399999999996,1.0879999999999939,0,4614
1666879823.5602148,18258690,7139,11.71875,11.71875,912,2520,1,28,30.922399999999996,1.0879999999999939,0,3590
1666879823.605151,18258690,7140,11.71875,11.71875,912,2520,1,28,30.922399999999996,1.0879999999999939,0,3846
1666879823.6371896,18258690,7141,11.71875,11.71875,910,2520,1,27,30.922399999999996,1.0879999999999939,0,3334
1666879823.6850605,18258690,7142,11.71875,11.71875,907,2520,1,31,30.922399999999996,1.0879999999999939,0,3846
1666879823.7170014,18258690,7143,11.71875,11.71875,911,2520,1,27,30.922399999999996,1.0879999999999939,0,4102
1666879823.7648733,18258690,7144,11.71875,11.71875,910,2520,3,27,30.922399999999996,1.0879999999999939,0,4614
1666879823.8127482,18258690,7145,11.71875,11.71875,907,2520,1,30,30.922399999999996,1.0879999999999939,0,4358
1666879823.8446605,18258690,7146,11.71875,11.71875,908,2520,1,31,30.922399999999996,1.0879999999999939,0,5126
1666879823.892535,18258690,7147,11.71875,11.71875,906,2520,4,33,30.922399999999996,1.0879999999999939,0,6150
1666879823.9244766,18258690,7148,11.71875,11.71875,912,2520,1,32,30.922399999999996,1.0879999999999939,0,6918
1666879823.9730906,18258690,7149,11.71875,11.71875,912,2520,1,29,30.922399999999996,1.0879999999999939,0,6406
1666879824.0049634,18258690,7150,11.71875,11.71875,907,2520,4,31,30.922399999999996,1.0879999999999939,0,6662
1666879824.0526407,18258690,7151,11.71875,11.71875,911,2520,3,28,30.922399999999996,1.0879999999999939,0,6918
1666879824.084505,18258690,7152,11.71875,11.71875,906,2520,1,32,30.922399999999996,1.0879999999999939,0,6406
1666879824.1324446,18258690,7153,11.71875,11.71875,914,2520,1,28,30.922399999999996,1.0879999999999939,0,7686
1666879824.1646833,18258690,7154,11.71875,11.71875,912,2520,3,27,30.922399999999996,1.0879999999999939,0,7686
1666879824.2128842,18258690,7155,11.71875,11.71875,909,2520,3,28,30.922399999999996,1.0879999999999939,0,7430
1666879824.2446568,18258690,7156,11.71875,11.71875,910,2520,1,26,30.922399999999996,1.0879999999999939,0,6918
1666879824.2923348,18258690,7157,11.71875,11.71875,905,2520,4,29,30.922399999999996,1.0879999999999939,0,7430
1666879824.3244324,18258690,7158,11.71875,11.71875,909,2520,3,29,30.922399999999996,1.0879999999999939,0,8454
1666879824.3725522,18258690,7159,11.71875,11.71875,909,2520,1,26,30.922399999999996,1.0879999999999939,0,7430
1666879824.404288,18258690,7160,11.71875,11.71875,906,2520,4,30,30.922399999999996,1.0879999999999939,0,8710
1666879824.45217,18258690,7161,11.71875,11.71875,907,2520,1,26,30.922399999999996,1.0879999999999939,0,7430
1666879824.4994698,18258690,7162,11.71875,11.71875,905,2520,1,26,30.922399999999996,1.0879999999999939,0,7174
1666879824.5322683,18258690,7163,11.71875,11.71875,902,2520,1,29,30.922399999999996,1.0879999999999939,0,7430
1666879824.581142,18258690,7164,11.71875,11.71875,908,2520,3,29,30.922399999999996,1.0879999999999939,0,9734
1666879824.612056,18258690,7165,11.71875,11.71875,905,2520,1,29,30.922399999999996,1.0879999999999939,0,8710
1666879824.6599262,18258690,7166,11.71875,11.71875,904,2520,4,30,30.922399999999996,1.0879999999999939,0,9734
1666879824.691841,18258690,7167,11.71875,11.71875,904,2520,1,30,30.922399999999996,1.0879999999999939,0,9222
1666879824.739714,18258690,7168,11.71875,11.71875,905,2520,3,29,30.922399999999996,1.0879999999999939,0,10245
1666879824.7716277,18258690,7169,11.71875,11.71875,902,2520,1,31,30.922399999999996,1.0879999999999939,0,9733
1666879824.8194993,18258690,7170,11.71875,11.71875,905,2520,4,30,30.922399999999996,1.0879999999999939,0,11269
1666879824.8514144,18258690,7171,11.71875,11.71875,907,2520,3,28,30.922399999999996,1.0879999999999939,0,11269
1666879824.8993144,18258690,7172,11.71875,11.71875,904,2520,1,30,30.922399999999996,1.0879999999999939,0,10757
1666879824.931229,18258690,7173,11.71875,11.71875,907,2520,3,28,30.922399999999996,1.0879999999999939,0,11781
1666879824.979108,18258690,7174,11.71875,11.71875,906,2520,3,29,30.922399999999996,1.0879999999999939,0,12037
1666879825.0118635,18258690,7175,11.71875,11.71875,901,2520,4,30,30.922399999999996,1.0879999999999939,0,11525
1666879825.0590198,18258690,7176,11.71875,11.71875,906,2520,1,30,30.922399999999996,1.0879999999999939,0,12293
1666879825.106821,18258690,7177,11.71875,11.71875,907,2520,3,28,30.922399999999996,1.0879999999999939,0,12805
1666879825.1395824,18258690,7178,11.71875,11.71875,902,2520,1,30,30.922399999999996,1.0879999999999939,0,11781
1666879825.1874359,18258690,7179,11.71875,11.71875,905,2520,4,29,30.922399999999996,1.0879999999999939,0,13317
1666879825.2192194,18258690,7180,11.71875,11.71875,905,2530,3,27,30.922399999999996,1.0879999999999939,0,13061
1666879825.267123,18258690,7181,11.71875,11.71875,904,2520,1,31,30.922399999999996,1.0879999999999939,0,13317
1666879825.2990396,18258690,7182,11.71875,11.71875,906,2520,1,29,30.922399999999996,1.0879999999999939,0,13573
1666879825.3466747,18258690,7183,11.71875,11.71875,908,2520,3,28,30.922399999999996,1.0879999999999939,0,14597
1666879825.3783922,18258690,7184,11.71875,11.71875,904,2520,1,30,30.922399999999996,1.0879999999999939,0,13829
